2020-09-09 13:38:49,067 	 DEBUG 	 App [main] 	 ----------------------------------------------Starting Qawjs............................................

 	 2020-09-09 13:38:49,080 	 DEBUG 	 App [main] 	 Instantiating web driver..............................................

 	 2020-09-09 13:38:52,763 	 DEBUG 	 InternalLoggerFactory [main] 	 Using Log4J2 as the default logging framework
 	 2020-09-09 13:38:52,770 	 DEBUG 	 ResourceLeakDetector [main] 	 -Dio.netty.leakDetection.level: simple
 	 2020-09-09 13:38:52,770 	 DEBUG 	 ResourceLeakDetector [main] 	 -Dio.netty.leakDetection.targetRecords: 4
 	 2020-09-09 13:38:52,775 	 DEBUG 	 ResourceLeakDetectorFactory$DefaultResourceLeakDetectorFactory [main] 	 Loaded default ResourceLeakDetector: io.netty.util.ResourceLeakDetector@76b07f29
 	 2020-09-09 13:38:52,798 	 DEBUG 	 PlatformDependent0 [main] 	 -Dio.netty.noUnsafe: false
 	 2020-09-09 13:38:52,799 	 DEBUG 	 PlatformDependent0 [main] 	 Java version: 8
 	 2020-09-09 13:38:52,800 	 DEBUG 	 PlatformDependent0 [main] 	 sun.misc.Unsafe.theUnsafe: available
 	 2020-09-09 13:38:52,802 	 DEBUG 	 PlatformDependent0 [main] 	 sun.misc.Unsafe.copyMemory: available
 	 2020-09-09 13:38:52,802 	 DEBUG 	 PlatformDependent0 [main] 	 java.nio.Buffer.address: available
 	 2020-09-09 13:38:52,803 	 DEBUG 	 PlatformDependent0 [main] 	 direct buffer constructor: available
 	 2020-09-09 13:38:52,804 	 DEBUG 	 PlatformDependent0 [main] 	 java.nio.Bits.unaligned: available, true
 	 2020-09-09 13:38:52,804 	 DEBUG 	 PlatformDependent0 [main] 	 jdk.internal.misc.Unsafe.allocateUninitializedArray(int): unavailable prior to Java9
 	 2020-09-09 13:38:52,804 	 DEBUG 	 PlatformDependent0 [main] 	 java.nio.DirectByteBuffer.<init>(long, int): available
 	 2020-09-09 13:38:52,805 	 DEBUG 	 PlatformDependent [main] 	 sun.misc.Unsafe: available
 	 2020-09-09 13:38:52,805 	 DEBUG 	 PlatformDependent [main] 	 -Dio.netty.tmpdir: /tmp (java.io.tmpdir)
 	 2020-09-09 13:38:52,806 	 DEBUG 	 PlatformDependent [main] 	 -Dio.netty.bitMode: 64 (sun.arch.data.model)
 	 2020-09-09 13:38:52,807 	 DEBUG 	 PlatformDependent [main] 	 -Dio.netty.maxDirectMemory: 1832910848 bytes
 	 2020-09-09 13:38:52,807 	 DEBUG 	 PlatformDependent [main] 	 -Dio.netty.uninitializedArrayAllocationThreshold: -1
 	 2020-09-09 13:38:52,808 	 DEBUG 	 CleanerJava6 [main] 	 java.nio.ByteBuffer.cleaner(): available
 	 2020-09-09 13:38:52,808 	 DEBUG 	 PlatformDependent [main] 	 -Dio.netty.noPreferDirect: false
 	 2020-09-09 13:38:52,887 	 DEBUG 	 PlatformDependent$Mpsc [main] 	 org.jctools-core.MpscChunkedArrayQueue: available
 	 2020-09-09 13:38:52,911 	 DEBUG 	 JdkSslContext [main] 	 Default protocols (JDK): [TLSv1.2, TLSv1.1, TLSv1] 
 	 2020-09-09 13:38:52,912 	 DEBUG 	 JdkSslContext [main] 	 Default cipher suites (JDK): [TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384, TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256, TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256, TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384, TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA, TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA, TLS_RSA_WITH_AES_128_GCM_SHA256, TLS_RSA_WITH_AES_128_CBC_SHA, TLS_RSA_WITH_AES_256_CBC_SHA]
 	 2020-09-09 13:38:52,933 	 DEBUG 	 InternalThreadLocalMap [main] 	 -Dio.netty.threadLocalMap.stringBuilder.initialSize: 1024
 	 2020-09-09 13:38:52,933 	 DEBUG 	 InternalThreadLocalMap [main] 	 -Dio.netty.threadLocalMap.stringBuilder.maxSize: 4096
 	 2020-09-09 13:38:52,939 	 DEBUG 	 MultithreadEventLoopGroup [main] 	 -Dio.netty.eventLoopThreads: 8
 	 2020-09-09 13:38:52,949 	 DEBUG 	 NioEventLoop [main] 	 -Dio.netty.noKeySetOptimization: false
 	 2020-09-09 13:38:52,950 	 DEBUG 	 NioEventLoop [main] 	 -Dio.netty.selectorAutoRebuildThreshold: 512
 	 2020-09-09 13:38:52,975 	 DEBUG 	 PooledByteBufAllocator [main] 	 -Dio.netty.allocator.numHeapArenas: 8
 	 2020-09-09 13:38:52,975 	 DEBUG 	 PooledByteBufAllocator [main] 	 -Dio.netty.allocator.numDirectArenas: 8
 	 2020-09-09 13:38:52,976 	 DEBUG 	 PooledByteBufAllocator [main] 	 -Dio.netty.allocator.pageSize: 8192
 	 2020-09-09 13:38:52,976 	 DEBUG 	 PooledByteBufAllocator [main] 	 -Dio.netty.allocator.maxOrder: 11
 	 2020-09-09 13:38:52,983 	 DEBUG 	 PooledByteBufAllocator [main] 	 -Dio.netty.allocator.chunkSize: 16777216
 	 2020-09-09 13:38:52,983 	 DEBUG 	 PooledByteBufAllocator [main] 	 -Dio.netty.allocator.tinyCacheSize: 512
 	 2020-09-09 13:38:52,983 	 DEBUG 	 PooledByteBufAllocator [main] 	 -Dio.netty.allocator.smallCacheSize: 256
 	 2020-09-09 13:38:52,983 	 DEBUG 	 PooledByteBufAllocator [main] 	 -Dio.netty.allocator.normalCacheSize: 64
 	 2020-09-09 13:38:52,984 	 DEBUG 	 PooledByteBufAllocator [main] 	 -Dio.netty.allocator.maxCachedBufferCapacity: 32768
 	 2020-09-09 13:38:52,984 	 DEBUG 	 PooledByteBufAllocator [main] 	 -Dio.netty.allocator.cacheTrimInterval: 8192
 	 2020-09-09 13:38:52,984 	 DEBUG 	 PooledByteBufAllocator [main] 	 -Dio.netty.allocator.cacheTrimIntervalMillis: 0
 	 2020-09-09 13:38:52,984 	 DEBUG 	 PooledByteBufAllocator [main] 	 -Dio.netty.allocator.useCacheForAllThreads: true
 	 2020-09-09 13:38:52,985 	 DEBUG 	 PooledByteBufAllocator [main] 	 -Dio.netty.allocator.maxCachedByteBuffersPerChunk: 1023
 	 2020-09-09 13:38:52,992 	 DEBUG 	 ByteBufUtil [main] 	 -Dio.netty.allocator.type: pooled
 	 2020-09-09 13:38:52,993 	 DEBUG 	 ByteBufUtil [main] 	 -Dio.netty.threadLocalDirectBufferSize: 0
 	 2020-09-09 13:38:52,993 	 DEBUG 	 ByteBufUtil [main] 	 -Dio.netty.maxThreadLocalCharBufferSize: 16384
 	 2020-09-09 13:38:53,907 	 DEBUG 	 DefaultChannelId [Forwarding newSession on session null to remote] 	 -Dio.netty.processId: 22246 (auto-detected)
